,user,location,tweet
37,MovieTVTrailers,USA,"A Brand New Tom Hiddleston and Owen Wilson Trailer For Disney+ Series ‘LOKI’ #Marvel #Video #DisneyPlus 

Find out… https://t.co/5gHBgw00WB"
38,PopCultureonTV,the Interwebs,"A Brand New Tom Hiddleston and Owen Wilson Trailer For Disney+ Series ‘LOKI’ #Marvel #Video #DisneyPlus 

Find out… https://t.co/Zq3Bub0uW1"
39,Mingle_AVClub,127.0.0.1,"A Brand New Tom Hiddleston and Owen Wilson Trailer For Disney+ Series ‘LOKI’ #Marvel #Video #DisneyPlus 

Find out… https://t.co/dh6PLkfnuC"
40,RCRPublicity,Hollywood + Albuquerque ,"A Brand New Tom Hiddleston and Owen Wilson Trailer For Disney+ Series ‘LOKI’ #Marvel #Video #DisneyPlus 

Find out… https://t.co/w98IWoLtpO"
41,RCRNewsMedia,Land of Enchantment,"A Brand New Tom Hiddleston and Owen Wilson Trailer For Disney+ Series ‘LOKI’ #Marvel #Video #DisneyPlus 

Find out… https://t.co/Dk0KiXnCy7"
42,BlockPartyFun,"Texas, USA","Marvel Studios Loki Official Trailer #2 #LOKI #MarvelStudios #DisneyPlus #Trailers
https://t.co/GnC6v2R4Lk"
43,BleedingFool,,Marvel &amp; Disney are still cranking out product for #MCU fans to consume. How interested are you in the latest trail… https://t.co/AxW8VtzYbB
44,vrjudge,"Wallasey, England",Finished #revenge on #DisneyPlus today. Don’t know what to do with myself now.
45,kugairoPaint,,page 1-2 of captain marvel and spiderman page 3 will be in the patreon support me so that this project continues… https://t.co/8g75PEc4vr
46,maryensenada,Ensenada-Argentina,Loki's trailer (June 11th 2021) #Loki #TomHiddleston #DisneyPlus https://t.co/ZlvOouoQP4
47,maeganaffonso,,"The #Marvel content this year is just..... #LOKI #FalconAndWinterSoldier 
#Wandavision #DisneyPlus https://t.co/Oj8cCJPjZH"
48,KhushbooPannu,,"I don't know how I'm gonna wait till June 11 , the new Loki trailer is gorgeous!! 🤩🤩 @twhiddleston @Marvel #Loki… https://t.co/dNkpXkoFKL"
49,shatrix,,"Look what I found in this week's episode of #TheFalconAndTheWinterSoldier 
1K #Bitcoin as a bounty for killing some… https://t.co/RyFRAhcVhV"
50,Ryans_Ramblings,"California, USA","Marvel appears to have revealed that actress Gugu Mbatha-Raw is playing none other than Ravonna Lexus Renslayer, al… https://t.co/sfAHV2ADEw"
51,J_Milton1,"New Brunswick, Canada",Ok I'm really starting to think that the Disney+ marvel series are going to be the reason why I get Disney+… https://t.co/2THWHCN47b
52,ThorLawyer,Thor 👏brings👏 me👏 joy👏 😊,"That second #lokitrailer tho!!
This June the AGE OF LOKI 👑 begins!! 😍😭😭
The Superior #DisneyPlus series and the fir… https://t.co/OZfjDv2KrH"
53,BlazingMinds,"Towyn, Wales",Loki’s time has come. ⌛ Watch the brand-new trailer for #Loki and start streaming the Marvel Studios' Original Seri… https://t.co/KxXyafvnBK
54,MsXaviB,Jersey Girl in Atlanta,"Marvel Studios Release New 'Black Widow' Trailer https://t.co/9RLXzTjO7p 🎬💙🍦

#MarvelStudios #BlackWidow… https://t.co/DY5TNkZ6sD"
55,loudnewsnet,Worldwide,"When Does The Mandalorian Take Place? 

#IndiCouchStreams
#DisneyPlus
#StarWars
https://t.co/Cthou7DQHr"
56,IceCreamConvos,"Atlanta, GA, USA","Marvel Studios Release New 'Black Widow' Trailer https://t.co/LY67TPXx6u 🎬💙🍦

#MarvelStudios #BlackWidow… https://t.co/CWbCdJouYC"
57,SHIELDZephyrOne,⚠️ Location Classified ⚠️,#Marvel and #DisneyPlus Release New Trailer For ‘#Loki’ I @THR News #MarvelStudios #MCU https://t.co/RltSbGkVKm
58,ScratchyDerose,"New York, USA",Owen Wilson is now part of the MCU. My life complete now. #LOKI #DisneyPlus #MarvelStudios
59,JoshuaBegley1,,New review is up! The #Falcon and the Winter Soldier Season 1 Episode 3 Review - https://t.co/Bke5AMOAh9… https://t.co/HoEsnHZ3QJ
60,disneyplusnews,,"Lauren Kisilevsky Promoted To Senior Vice President, Original Movies, Disney Branded Television https://t.co/bmToAkLei8 #disneyplus"
61,mxdwn,"Los Angeles, CA",via @mxdwnTELEVISION: ‘The @falconandwinter Soldier’ Episode 3 Ends With Wakandan Cameo Cliffhanger… https://t.co/R97Iai02IG
62,DisneyPlusCA,Canada,“You cost me everything.” See Emily VanCamp as Sharon Carter in the third episode of The Falcon and The Winter Sold… https://t.co/ykW4fN3FE3
63,ankit_chawla89,"New Delhi, India","Watching 

The Falcon and The Winter Soldier 
@DisneyPlusHS #FalconAndTheWinterSoldier #DisneyPlus #CaptainAmerica https://t.co/KXAblSdy36"
64,BluRayAngel,Cinema,Who is your Captain America? #DisneyPlus
65,GeekCastRadio,United Federation of Planets,Join @PecanCtMichael &amp; @TFG1Mike in EP 082 of The Podcast Organization Without a Cool Acronym! You've joined POWCA… https://t.co/TVBlCElfS9
66,GeekCastRadio,United Federation of Planets,Join @PecanCtMichael &amp; @TFG1Mike in EP 081 of The Podcast Organization Without a Cool Acronym! You've joined POWCA… https://t.co/x3cXsIlQrT
67,rogpalmeruk,,Searchlight Pictures “Summer Of Soul” Coming To Cinemas &amp; Hulu https://t.co/24he3mJtRX #disneyplus
68,BleedingFool,,"Fans of the National Geographic series 'The Right Stuff' which moved over to #DisneyPlus in October, are now disapp… https://t.co/tgyAHhBZR6"
69,GeekCastRadio,United Federation of Planets,Join @PecanCtMichael &amp; @TFG1Mike in EP 080 of The Podcast Organization Without a Cool Acronym! You've joined POWCA… https://t.co/ZetvzBfW4D
70,xjawdsx,🇳🇿,@MarvelStudios I’ve been really hitting out of the park with these shows. This looks to be a cracker #MarvelStudios… https://t.co/HnPL0zrcYX
71,JonnyJag85,"Mishawaka, IN",@KellymanErin has been fantastic as Karli. Need her back as Enfys Nest next @starwars. #FalconAndTheWinterSoldier… https://t.co/q2ABQWfiaB
72,swinning_,"Indiana, USA",This HAS to be Nat and Loki on Vormir!!! #Loki #MCU #DisneyPlus https://t.co/jdnSUfgCvj https://t.co/MEXj7Y5Tvr
73,rosh5,Texas,The Falcon and the Winter Soldier reactions thread for Episode 3 #TheFalconAndTheWinterSoldier  #DisneyPlus hot dam… https://t.co/4aHygTaHMO
74,PromosBrazil, Brasil,"The Falcon and The Winter Soldier Disney  ""Zemo"" Promo HD   Marvel series https://t.co/5of7B2OFfW… https://t.co/vhDCcNS8iC"
75,N7Kenny,New York,"Bro, how is #DisneyPlus still this janky? It freezes my laptop every single time. Literally the only streaming platform I have issues with."
76,DevronKevin,,"A new #Marvel chapter with #LOKI  at its center.

🦹🏼 📽️  🎬 🦹🏼 🍿  🎞️  🍿 🦹🏼 🎬  🎥  🍿 🦹🏼 

#MarvelStudios #marvelcomics… https://t.co/DhWRdCbUVK"
77,TomAndreasOlse1,,"@Disney In The Lion King, are Timon and Pumbaa gay? #disney #DisneyPlus @disneyplus"
78,berniewink,Somewhere over the Rainbow,YES!!!!! Marvel’s Master of Mischief is BACK!!! #Loki #MarvelStudios #DisneyPlus https://t.co/7R7JwkMWfi
79,Barkeromo,"Fizzbin Isle, Sigma Iota II","#DisneyPlus
Aka give us yore money, beach."
80,THR,"Hollywood, CA",Loki is back and up to his old antics in a new trailer for the upcoming #DisneyPlus series under the character's na… https://t.co/tmHGlmovDF
81,Complex,New York,"Start streaming Marvel Studios' The #FalconAndWinterSoldier now on #DisneyPlus, and upgrade to The #DisneyBundle to… https://t.co/P16yGIhgAr"
82,SNEAKPEEKCA,Editor: Jane Doberman,"SNEAK PEEK: Marvel's ""Loki"" on Disney+ https://t.co/EuO6M1aeR0

#Loki #MarvelStudios #DisneyPLus #NewFootage… https://t.co/IevCgpp4AA"
83,conventionscene,"Orlando, FL",Marvel Studios’ Loki – Official Trailer 2 (20 https://t.co/xE0u3kOy3K #DisneyPlus #Loki #MCU #OwenWilson #TomHiddleston | Convention Scene
84,Iloveholly,"Newton Abbot, Devon",Watching #TheMightyDucks #TheFalconAndTheWinterSoldier #bigsky on #DisneyPlus
85,valerieclaussen,"Los Angeles, CA",Loki is my favorite character!! 😊💚 This pleases me soooo much! #LOKI #LokiSeries #MarvelStudios #DisneyPlus https://t.co/2wgIT3X6KG
86,MBSMediaCampus,"Manhattan Beach, CA",Congratulations to @TheMandalorian's stunt team on winning Best Stunt Ensemble in a Comedy or Drama Series at the… https://t.co/kOGhiTwMCQ
87,For6idden_Fruit,,Was that Natasha or Lady Loki in the Loki Trailer? 🤔 #Loki #Mcu #DisneyPlus
88,Pop_Cult1,"Mesa, AZ","Loki is going to go full Timey Wimey and we are not ready!

Our trailer reaction to the newest Loki trailer is up o… https://t.co/ucVkuI5GSZ"
89,coronapocaIypse,At Home,"#Loki #DisneyPlus #Marvel 

That moment when you know everyone can smell your fart https://t.co/SInIklYegg"
90,TheLonelyMucc,Earth 1,"FOR ALL THAT IS GOOD IN THE WORLD, PLEASE GIVE DUCKTALES A FOURTH SEASON!!! #DisneyPlus #DuckTales https://t.co/JCWNKMFiv8"
91,murderofnerds1,,Marvel: ⭐ What nicknames would Sam and Bucky call each other? @AnthonyMackie and Sebastian Stan answer! #AskMarvel… https://t.co/je2C4sQkMQ
92,RobSWhiteside,"Raleigh, NC",Loving the #FalconAndWinterSoldier but seriously can't wait for this one!  #LOKI #DisneyPlus https://t.co/NvyTMQXpyo
93,FrshBakedDisney,Orange County,"THIS.  This is a reason to get #DisneyPlus.

What a great idea, what a great lead.  And Owen Wilson 👍 https://t.co/GzXtMmBr8z"
94,For6idden_Fruit,,I watched the Loki trailer &amp; it just occurred to me that the Loki we’ll see has yet to experience the MCU timeline… https://t.co/uwPs5dZsap
95,The80sTom,UK,#DisneyPlus Hell yeah my man #LOKI streaming in June Can't wait!! https://t.co/nyvqIY7qvX
96,Cricketsongcol1,,Ending Soon! Boba Fett IG-88 1980 Topps Star Wars Empire Strikes Back Card #75  https://t.co/gFlpchIrAF via @eBay… https://t.co/FI0pMuzT8q
97,Fromthestonymo1,United Kingdom,"Modern AU Cassandra x Elsa.
Cass inspired by Jessica Jones and Elsa inspired by a Google image search.

#cassandra… https://t.co/Uk4c2uH6py"
98,TheLxstSnow,,Yall I’m so excited for Loki 😭😭😭 #DisneyPlus
99,RED__tv,"Andalucía, España","L #Netflix / #DisneyPlus 📺⭐️
M #Señorasdelhampa 🔪by #Primevideo 
X #EstoyVivo 💀 
J #CuentameT21 👪
V… https://t.co/LfS3pj9bll"
